# Wyniki pomiarów dla układu RC
F	AppIn	AppOut	DPhi
1584.893192	5.0	4.97	4.585987
2511.886432	5.0	4.96	3.61809
3981.071706	5.0	4.99	5.714286
6309.573445	5.0	4.95	4.528302
10000.0	5.0	4.94	7.2
15848.931925	5.0	4.91	9.113924
25118.864315	5.0	4.87	12.66332
39810.717055	5.0	4.77	17.14286
63095.734448	4.94	4.55	22.78481
100000.0	4.94	4.06	34.56
158489.319246	4.86	3.36	45.85987
251188.643151	4.8	2.53	59.69849
398107.170553	4.8	1.754	72.0
630957.34448	4.8	1.158	74.71698
1000000.0	4.77	0.756	82.08
1584893.192461	4.8	0.479	82.02531
2511886.43151	4.74	0.304	88.64322
3981071.705535	4.66	0.1881	92.16
